From,To,Distance_km,Class_1st_Rs,Class_2nd_Rs,Class_3rd_Rs
Colombo Fort,Colombo Fort,0.0,0.0,0.0,0.0
Colombo Fort,Idalgashinna,240.56,1600.0,800.0,400.0
Colombo Fort,Puttalam,135.12,1050.0,550.0,260.0
Colombo Fort,Maradana,1.9,100.0,50.0,20.0
Colombo Fort,Haputale,247.97,1600.0,800.0,400.0
Colombo Fort,Noor Nagar,139.1,1050.0,550.0,280.0
Colombo Fort,Dematagoda,3.67,100.0,50.0,20.0
Colombo Fort,Diyathalawa,253.08,1650.0,850.0,420.0
Colombo Fort,Kelaniya,6.87,100.0,50.0,20.0
Colombo Fort,Bandarawela,259.15,1650.0,850.0,420.0
Colombo Fort,Girambe,79.29,700.0,350.0,180.0
Colombo Fort,Wanawasala,8.68,100.0,50.0,40.0
Colombo Fort,Kinigama,261.45,1700.0,850.0,420.0
Colombo Fort,Thalawattegedara,81.12,700.0,350.0,180.0
Colombo Fort,Hunupitiya,10.03,150.0,100.0,40.0
Colombo Fort,Heeloya,265.37,1700.0,850.0,420.0
Colombo Fort,Pothuhera,86.27,750.0,400.0,200.0
Colombo Fort,Enderamulla,11.7,150.0,100.0,40.0
Colombo Fort,Kithal Ella,269.73,1700.0,850.0,440.0
Colombo Fort,Nailiya,91.67,800.0,400.0,200.0
Colombo Fort,Horape,14.04,150.0,100.0,40.0
Colombo Fort,Ella,271.59,1750.0,900.0,440.0
Colombo Fort,Kurunegala,95.27,800.0,400.0,200.0
Colombo Fort,Ragama,15.55,200.0,100.0,40.0
Colombo Fort,Demodara,277.72,1750.0,900.0,440.0
Colombo Fort,Muthtettugala,97.76,850.0,450.0,220.0
Colombo Fort,Walpola,18.12,200.0,100.0,60.0
Colombo Fort,Uduwara,283.22,1800.0,900.0,440.0
Colombo Fort,Wellawa,105.0,900.0,450.0,220.0
Colombo Fort,Batuwatta,19.08,200.0,100.0,60.0
Colombo Fort,Hali Ela,286.6,1800.0,900.0,460.0
Colombo Fort,Ganewatta,116.72,950.0,500.0,240.0
Colombo Fort,Bulugahagoda,20.73,250.0,150.0,60.0
Colombo Fort,Badulla,292.39,1800.0,900.0,460.0
Colombo Fort,Hiriyala,123.46,1000.0,500.0,240.0
Colombo Fort,Ganemulla,22.52,250.0,150.0,60.0
Colombo Fort,Nagollagama,129.05,1000.0,500.0,260.0
Colombo Fort,Yagoda,24.32,250.0,150.0,80.0
Colombo Fort,Sarasavi Uyana,115.69,950.0,500.0,240.0
Colombo Fort,Thimbiriyagedara,132.93,1050.0,550.0,260.0
Colombo Fort,Gampaha,27.54,300.0,150.0,80.0
Colombo Fort,Kandy,120.74,950.0,500.0,240.0
Colombo Fort,Maho Jnc,138.59,1050.0,550.0,280.0
Colombo Fort,Daraluwa,29.92,300.0,150.0,80.0
Colombo Fort,Mahaiyawa,122.4,1000.0,500.0,240.0
Colombo Fort,Randenigama,141.92,1100.0,550.0,280.0
Colombo Fort,Bemmulla,31.91,350.0,200.0,80.0
Colombo Fort,Katugastota,126.29,1000.0,500.0,260.0
Colombo Fort,Ambanpola,150.26,1150.0,600.0,280.0
Colombo Fort,Magalegoda,34.16,350.0,200.0,100.0
Colombo Fort,Pallethalawinna,127.66,1000.0,500.0,260.0
Colombo Fort,Galgamuwa,160.24,1200.0,600.0,300.0
Colombo Fort,Heen - Patti,35.67,400.0,200.0,100.0
Colombo Fort,Udathalawinna,128.78,1000.0,500.0,260.0
Colombo Fort,Senarathgama,170.08,1250.0,650.0,320.0
Colombo Fort,Veyangoda,37.48,400.0,200.0,100.0
Colombo Fort,Meegammana,130.69,1000.0,500.0,260.0
Colombo Fort,Thambuttegama,178.96,1300.0,650.0,320.0
Colombo Fort,Wandurawa,39.33,400.0,200.0,100.0
Colombo Fort,Wattegama,132.89,1050.0,550.0,260.0
Colombo Fort,Talawa,189.94,1350.0,700.0,340.0
Colombo Fort,Keenawala,41.63,450.0,250.0,120.0
Colombo Fort,Pathanpaha,137.42,1050.0,550.0,260.0
